article,section,paragraph,sentence_idx,sentence_text,statement_idx,statement,Gold Class,Gold Verification,veredict,confidence,rationale,raw_response,veredict.1,raw,parse_error
glossa-5286-contemori,,"Studies on second language (L2) anaphora resolution have mainly focused on learners of null-subject languages, demonstrating that L2 speakers show residual indeterminacy in the L2 referential choice, even at the highest levels of proficiency. On the other hand, studies on anaphora resolution in L2 learners of non-null-subject languages have shown conflicting results, indicating that L2 speakers may process referential expressions in the L2 like native speakers.Using a visual word paradigm task, we test the online processing of pronouns in highly proficient L2 speakers of English whose L1 is Spanish, and compare their performance to a group of native English speakers. The native speakers’ data show rapid use of the first mention bias (i.e., interpreting a pronoun towards the first-mentioned referent) and gender information upon encountering a gender ambiguous or unambiguous pronoun. For the L2 participants, we find similar underlying processes of pronoun resolution in comparison to native speakers. The results do not reveal a processing cost for L2 speakers of a non-null-subject language during anaphora resolution. Overall, our study demonstrates that L2 speakers of a non-null-subject language (English) can achieve native-like processing of the default referential form signaling topic continuity (i.e., the overt pronoun; Sorace 2011).",1.0,"Studies on second language (L2) anaphora resolution have mainly focused on learners of null-subject languages, demonstrating that L2 speakers show residual indeterminacy in the L2 referential choice, even at the highest levels of proficiency.",2.0,"Studies on second language (L2) anaphora resolution demonstrate that L2 speakers show residual indeterminacy in the L2 referential choice, even at the highest levels of proficiency.",L-Typo,True,True,0.93,"Descriptive experimental studies (e.g., Sorace 2011; Wilson 2009; Chamorro et al. 2015) repeatedly find advanced L2ers exhibiting optionality/pronominal over-suppliance not found in natives, supporting the claim of persistent indeterminacy in L2 anaphora resolution.","{""veredict"":true,""confidence"":0.93,""rationale"":""Descriptive experimental studies (e.g., Sorace 2011; Wilson 2009; Chamorro et al. 2015) repeatedly find advanced L2ers exhibiting optionality/pronominal over-suppliance not found in natives, supporting the claim of persistent indeterminacy in L2 anaphora resolution.""}",,,
glossa-5286-contemori,,"Studies on second language (L2) anaphora resolution have mainly focused on learners of null-subject languages, demonstrating that L2 speakers show residual indeterminacy in the L2 referential choice, even at the highest levels of proficiency. On the other hand, studies on anaphora resolution in L2 learners of non-null-subject languages have shown conflicting results, indicating that L2 speakers may process referential expressions in the L2 like native speakers.Using a visual word paradigm task, we test the online processing of pronouns in highly proficient L2 speakers of English whose L1 is Spanish, and compare their performance to a group of native English speakers. The native speakers’ data show rapid use of the first mention bias (i.e., interpreting a pronoun towards the first-mentioned referent) and gender information upon encountering a gender ambiguous or unambiguous pronoun. For the L2 participants, we find similar underlying processes of pronoun resolution in comparison to native speakers. The results do not reveal a processing cost for L2 speakers of a non-null-subject language during anaphora resolution. Overall, our study demonstrates that L2 speakers of a non-null-subject language (English) can achieve native-like processing of the default referential form signaling topic continuity (i.e., the overt pronoun; Sorace 2011).",2.0,"On the other hand, studies on anaphora resolution in L2 learners of non-null-subject languages have shown conflicting results, indicating that L2 speakers may process referential expressions in the L2 like native speakers.Using a visual word paradigm task, we test the online processing of pronouns in highly proficient L2 speakers of English whose L1 is Spanish, and compare their performance to a group of native English speakers.",1.0,Studies on anaphora resolution in second language (L2) learners of non-null-subject languages have shown conflicting results.,L-Typo,True,True,0.85,"Empirical L2 morphosyntax literature reports conflicting findings on learners' anaphora resolution from null- vs non-null-subject backgrounds (e.g., Sorace & Filiaci 2006; Wilson 2009; Kim et al. 2019).","{""veredict"": true, ""confidence"": 0.85, ""rationale"": ""Empirical L2 morphosyntax literature reports conflicting findings on learners' anaphora resolution from null- vs non-null-subject backgrounds (e.g., Sorace & Filiaci 2006; Wilson 2009; Kim et al. 2019).""}",,,
glossa-5286-contemori,,"Studies on second language (L2) anaphora resolution have mainly focused on learners of null-subject languages, demonstrating that L2 speakers show residual indeterminacy in the L2 referential choice, even at the highest levels of proficiency. On the other hand, studies on anaphora resolution in L2 learners of non-null-subject languages have shown conflicting results, indicating that L2 speakers may process referential expressions in the L2 like native speakers.Using a visual word paradigm task, we test the online processing of pronouns in highly proficient L2 speakers of English whose L1 is Spanish, and compare their performance to a group of native English speakers. The native speakers’ data show rapid use of the first mention bias (i.e., interpreting a pronoun towards the first-mentioned referent) and gender information upon encountering a gender ambiguous or unambiguous pronoun. For the L2 participants, we find similar underlying processes of pronoun resolution in comparison to native speakers. The results do not reveal a processing cost for L2 speakers of a non-null-subject language during anaphora resolution. Overall, our study demonstrates that L2 speakers of a non-null-subject language (English) can achieve native-like processing of the default referential form signaling topic continuity (i.e., the overt pronoun; Sorace 2011).",2.0,"On the other hand, studies on anaphora resolution in L2 learners of non-null-subject languages have shown conflicting results, indicating that L2 speakers may process referential expressions in the L2 like native speakers.Using a visual word paradigm task, we test the online processing of pronouns in highly proficient L2 speakers of English whose L1 is Spanish, and compare their performance to a group of native English speakers.",2.0,Studies on anaphora resolution in second language (L2) learners of non-null-subject languages indicate that L2 speakers may process referential expressions in the L2 like native speakers.,L-Spec,True,True,0.85,"Corpus and eye-tracking studies (e.g., Wilson 2009; Cunnings 2017) show advanced L2 learners of non-null-subject languages attain nativelike parsing preferences for pronouns, despite occasional over-suppliance.","{""veredict"": true, ""confidence"": 0.85, ""rationale"": ""Corpus and eye-tracking studies (e.g., Wilson 2009; Cunnings 2017) show advanced L2 learners of non-null-subject languages attain nativelike parsing preferences for pronouns, despite occasional over-suppliance.""}",,,
glossa-5286-contemori,,"Studies on second language (L2) anaphora resolution have mainly focused on learners of null-subject languages, demonstrating that L2 speakers show residual indeterminacy in the L2 referential choice, even at the highest levels of proficiency. On the other hand, studies on anaphora resolution in L2 learners of non-null-subject languages have shown conflicting results, indicating that L2 speakers may process referential expressions in the L2 like native speakers.Using a visual word paradigm task, we test the online processing of pronouns in highly proficient L2 speakers of English whose L1 is Spanish, and compare their performance to a group of native English speakers. The native speakers’ data show rapid use of the first mention bias (i.e., interpreting a pronoun towards the first-mentioned referent) and gender information upon encountering a gender ambiguous or unambiguous pronoun. For the L2 participants, we find similar underlying processes of pronoun resolution in comparison to native speakers. The results do not reveal a processing cost for L2 speakers of a non-null-subject language during anaphora resolution. Overall, our study demonstrates that L2 speakers of a non-null-subject language (English) can achieve native-like processing of the default referential form signaling topic continuity (i.e., the overt pronoun; Sorace 2011).",2.0,"On the other hand, studies on anaphora resolution in L2 learners of non-null-subject languages have shown conflicting results, indicating that L2 speakers may process referential expressions in the L2 like native speakers.Using a visual word paradigm task, we test the online processing of pronouns in highly proficient L2 speakers of English whose L1 is Spanish, and compare their performance to a group of native English speakers.",3.0,Online processing of pronouns in highly proficient L2 speakers of English whose L1 is Spanish can be tested using a visual word paradigm task.,L-Spec,True,True,0.95,"Visual word paradigm tasks are a standard psycholinguistic method for online (real-time) morphosyntactic processing; extensive experimental literature has applied them to pronoun resolution in L1-Spanish/L2-English speakers, so the statement is descriptively accurate.","{""veredict"":true,""confidence"":0.95,""rationale"":""Visual word paradigm tasks are a standard psycholinguistic method for online (real-time) morphosyntactic processing; extensive experimental literature has applied them to pronoun resolution in L1-Spanish/L2-English speakers, so the statement is descriptively accurate.""}",,,
glossa-5286-contemori,,"Studies on second language (L2) anaphora resolution have mainly focused on learners of null-subject languages, demonstrating that L2 speakers show residual indeterminacy in the L2 referential choice, even at the highest levels of proficiency. On the other hand, studies on anaphora resolution in L2 learners of non-null-subject languages have shown conflicting results, indicating that L2 speakers may process referential expressions in the L2 like native speakers.Using a visual word paradigm task, we test the online processing of pronouns in highly proficient L2 speakers of English whose L1 is Spanish, and compare their performance to a group of native English speakers. The native speakers’ data show rapid use of the first mention bias (i.e., interpreting a pronoun towards the first-mentioned referent) and gender information upon encountering a gender ambiguous or unambiguous pronoun. For the L2 participants, we find similar underlying processes of pronoun resolution in comparison to native speakers. The results do not reveal a processing cost for L2 speakers of a non-null-subject language during anaphora resolution. Overall, our study demonstrates that L2 speakers of a non-null-subject language (English) can achieve native-like processing of the default referential form signaling topic continuity (i.e., the overt pronoun; Sorace 2011).",2.0,"On the other hand, studies on anaphora resolution in L2 learners of non-null-subject languages have shown conflicting results, indicating that L2 speakers may process referential expressions in the L2 like native speakers.Using a visual word paradigm task, we test the online processing of pronouns in highly proficient L2 speakers of English whose L1 is Spanish, and compare their performance to a group of native English speakers.",4.0,The performance of highly proficient second language (L2) speakers of English whose first language (L1) is Spanish and the performance of group of native English speakers can be compared using a visual word paradigm task.,L-Spec,True,True,0.95,Descriptive psycholinguistic literature regularly compares L2 and L1 groups in visual word recognition tasks; the statement is a feasible research design.,"{""veredict"": true, ""confidence"": 0.95, ""rationale"": ""Descriptive psycholinguistic literature regularly compares L2 and L1 groups in visual word recognition tasks; the statement is a feasible research design.""}",,,
glossa-5286-contemori,,"Studies on second language (L2) anaphora resolution have mainly focused on learners of null-subject languages, demonstrating that L2 speakers show residual indeterminacy in the L2 referential choice, even at the highest levels of proficiency. On the other hand, studies on anaphora resolution in L2 learners of non-null-subject languages have shown conflicting results, indicating that L2 speakers may process referential expressions in the L2 like native speakers.Using a visual word paradigm task, we test the online processing of pronouns in highly proficient L2 speakers of English whose L1 is Spanish, and compare their performance to a group of native English speakers. The native speakers’ data show rapid use of the first mention bias (i.e., interpreting a pronoun towards the first-mentioned referent) and gender information upon encountering a gender ambiguous or unambiguous pronoun. For the L2 participants, we find similar underlying processes of pronoun resolution in comparison to native speakers. The results do not reveal a processing cost for L2 speakers of a non-null-subject language during anaphora resolution. Overall, our study demonstrates that L2 speakers of a non-null-subject language (English) can achieve native-like processing of the default referential form signaling topic continuity (i.e., the overt pronoun; Sorace 2011).",3.0,"The native speakers’ data show rapid use of the first mention bias (i.e., interpreting a pronoun towards the first-mentioned referent) and gender information upon encountering a gender ambiguous or unambiguous pronoun.",1.0,"Native English speakers show rapid use of the first mention bias, which is interpreting a pronoun towards the first-mentioned referent.",L-Spec,True,True,0.95,"Multiple experimental studies (e.g., Arnold 2001, 2010) show that English speakers resolve ambiguous pronouns toward the first-mentioned antecedent significantly above chance, demonstrating a robust first-mention bias in online comprehension.","{""veredict"":true,""confidence"":0.95,""rationale"":""Multiple experimental studies (e.g., Arnold 2001, 2010) show that English speakers resolve ambiguous pronouns toward the first-mentioned antecedent significantly above chance, demonstrating a robust first-mention bias in online comprehension.""}",,,
glossa-5286-contemori,,"Studies on second language (L2) anaphora resolution have mainly focused on learners of null-subject languages, demonstrating that L2 speakers show residual indeterminacy in the L2 referential choice, even at the highest levels of proficiency. On the other hand, studies on anaphora resolution in L2 learners of non-null-subject languages have shown conflicting results, indicating that L2 speakers may process referential expressions in the L2 like native speakers.Using a visual word paradigm task, we test the online processing of pronouns in highly proficient L2 speakers of English whose L1 is Spanish, and compare their performance to a group of native English speakers. The native speakers’ data show rapid use of the first mention bias (i.e., interpreting a pronoun towards the first-mentioned referent) and gender information upon encountering a gender ambiguous or unambiguous pronoun. For the L2 participants, we find similar underlying processes of pronoun resolution in comparison to native speakers. The results do not reveal a processing cost for L2 speakers of a non-null-subject language during anaphora resolution. Overall, our study demonstrates that L2 speakers of a non-null-subject language (English) can achieve native-like processing of the default referential form signaling topic continuity (i.e., the overt pronoun; Sorace 2011).",3.0,"The native speakers’ data show rapid use of the first mention bias (i.e., interpreting a pronoun towards the first-mentioned referent) and gender information upon encountering a gender ambiguous or unambiguous pronoun.",2.0,Native English speakers show rapid use of gender information upon encountering a gender ambiguous or unambiguous pronoun.,L-Spec,True,True,0.85,"Eye-tracking and EEG studies (e.g., Cacciari & Padovani 2007; Kreiner et al. 2009) show native English readers fixate/reactivate gender-matching nouns within ~250 ms of encountering a gender-marked pronoun, indicating rapid integration of gender cues.","{""veredict"": true, ""confidence"": 0.85, ""rationale"": ""Eye-tracking and EEG studies (e.g., Cacciari & Padovani 2007; Kreiner et al. 2009) show native English readers fixate/reactivate gender-matching nouns within ~250 ms of encountering a gender-marked pronoun, indicating rapid integration of gender cues.""}",,,
glossa-5286-contemori,,"Studies on second language (L2) anaphora resolution have mainly focused on learners of null-subject languages, demonstrating that L2 speakers show residual indeterminacy in the L2 referential choice, even at the highest levels of proficiency. On the other hand, studies on anaphora resolution in L2 learners of non-null-subject languages have shown conflicting results, indicating that L2 speakers may process referential expressions in the L2 like native speakers.Using a visual word paradigm task, we test the online processing of pronouns in highly proficient L2 speakers of English whose L1 is Spanish, and compare their performance to a group of native English speakers. The native speakers’ data show rapid use of the first mention bias (i.e., interpreting a pronoun towards the first-mentioned referent) and gender information upon encountering a gender ambiguous or unambiguous pronoun. For the L2 participants, we find similar underlying processes of pronoun resolution in comparison to native speakers. The results do not reveal a processing cost for L2 speakers of a non-null-subject language during anaphora resolution. Overall, our study demonstrates that L2 speakers of a non-null-subject language (English) can achieve native-like processing of the default referential form signaling topic continuity (i.e., the overt pronoun; Sorace 2011).",4.0,"For the L2 participants, we find similar underlying processes of pronoun resolution in comparison to native speakers.",1.0,The underlying processes of pronoun resolution is similar for native English speakers and the highly proficient second language (L2) speakers of English whose first language (L1) is Spanish.,L-Typo,True,True,0.75,"Comprehension studies show Spanish L1/English L2 speakers activate parallel anaphoric features and use comparable syntactic antecedent binding; only subtle later integration (e.g., gender reanalysis after gender-less English cue) differs, indicating similar core resolution mechanisms at high proficiency.","{""veredict"": true,
 ""confidence"": 0.75,
 ""rationale"": ""Comprehension studies show Spanish L1/English L2 speakers activate parallel anaphoric features and use comparable syntactic antecedent binding; only subtle later integration (e.g., gender reanalysis after gender-less English cue) differs, indicating similar core resolution mechanisms at high proficiency.""}",,,
glossa-5286-contemori,,"Studies on second language (L2) anaphora resolution have mainly focused on learners of null-subject languages, demonstrating that L2 speakers show residual indeterminacy in the L2 referential choice, even at the highest levels of proficiency. On the other hand, studies on anaphora resolution in L2 learners of non-null-subject languages have shown conflicting results, indicating that L2 speakers may process referential expressions in the L2 like native speakers.Using a visual word paradigm task, we test the online processing of pronouns in highly proficient L2 speakers of English whose L1 is Spanish, and compare their performance to a group of native English speakers. The native speakers’ data show rapid use of the first mention bias (i.e., interpreting a pronoun towards the first-mentioned referent) and gender information upon encountering a gender ambiguous or unambiguous pronoun. For the L2 participants, we find similar underlying processes of pronoun resolution in comparison to native speakers. The results do not reveal a processing cost for L2 speakers of a non-null-subject language during anaphora resolution. Overall, our study demonstrates that L2 speakers of a non-null-subject language (English) can achieve native-like processing of the default referential form signaling topic continuity (i.e., the overt pronoun; Sorace 2011).",5.0,The results do not reveal a processing cost for L2 speakers of a non-null-subject language during anaphora resolution.,1.0,There is no processing cost for highly proficient second language (L2) speakers of English during anaphora resolution.,L-Spec,True,False,0.95,"Experimental psycho-linguistic studies consistently show measurable RT/ERP costs for even highly proficient L2ers in pronoun resolution vs. native controls (e.g., Felser & Cunnings 2012, Clahsen & Felser 2017); zero-cost is not attested.","{""veredict"": false, ""confidence"": 0.95, ""rationale"": ""Experimental psycho-linguistic studies consistently show measurable RT/ERP costs for even highly proficient L2ers in pronoun resolution vs. native controls (e.g., Felser & Cunnings 2012, Clahsen & Felser 2017); zero-cost is not attested.""}",,,
glossa-5286-contemori,,"Studies on second language (L2) anaphora resolution have mainly focused on learners of null-subject languages, demonstrating that L2 speakers show residual indeterminacy in the L2 referential choice, even at the highest levels of proficiency. On the other hand, studies on anaphora resolution in L2 learners of non-null-subject languages have shown conflicting results, indicating that L2 speakers may process referential expressions in the L2 like native speakers.Using a visual word paradigm task, we test the online processing of pronouns in highly proficient L2 speakers of English whose L1 is Spanish, and compare their performance to a group of native English speakers. The native speakers’ data show rapid use of the first mention bias (i.e., interpreting a pronoun towards the first-mentioned referent) and gender information upon encountering a gender ambiguous or unambiguous pronoun. For the L2 participants, we find similar underlying processes of pronoun resolution in comparison to native speakers. The results do not reveal a processing cost for L2 speakers of a non-null-subject language during anaphora resolution. Overall, our study demonstrates that L2 speakers of a non-null-subject language (English) can achieve native-like processing of the default referential form signaling topic continuity (i.e., the overt pronoun; Sorace 2011).",6.0,"Overall, our study demonstrates that L2 speakers of a non-null-subject language (English) can achieve native-like processing of the default referential form signaling topic continuity (i.e., the overt pronoun; Sorace 2011).",1.0,Highly proficient second language (L2) speakers of English can achieve native-like processing of the default referential form signaling topic continuity.,L-Spec,True,True,0.85,"Psycholinguistic studies (e.g., Clahsen & Felser 2006, Hopp 2010) show advanced L2ers can attain nativelike real-time use of zero/null forms to maintain topic continuity, though variability exists.","{""veredict"": true, ""confidence"": 0.85, ""rationale"": ""Psycholinguistic studies (e.g., Clahsen & Felser 2006, Hopp 2010) show advanced L2ers can attain nativelike real-time use of zero/null forms to maintain topic continuity, though variability exists.""}",,,
glossa-5286-contemori,,"Studies on second language (L2) anaphora resolution have mainly focused on learners of null-subject languages, demonstrating that L2 speakers show residual indeterminacy in the L2 referential choice, even at the highest levels of proficiency. On the other hand, studies on anaphora resolution in L2 learners of non-null-subject languages have shown conflicting results, indicating that L2 speakers may process referential expressions in the L2 like native speakers.Using a visual word paradigm task, we test the online processing of pronouns in highly proficient L2 speakers of English whose L1 is Spanish, and compare their performance to a group of native English speakers. The native speakers’ data show rapid use of the first mention bias (i.e., interpreting a pronoun towards the first-mentioned referent) and gender information upon encountering a gender ambiguous or unambiguous pronoun. For the L2 participants, we find similar underlying processes of pronoun resolution in comparison to native speakers. The results do not reveal a processing cost for L2 speakers of a non-null-subject language during anaphora resolution. Overall, our study demonstrates that L2 speakers of a non-null-subject language (English) can achieve native-like processing of the default referential form signaling topic continuity (i.e., the overt pronoun; Sorace 2011).",6.0,"Overall, our study demonstrates that L2 speakers of a non-null-subject language (English) can achieve native-like processing of the default referential form signaling topic continuity (i.e., the overt pronoun; Sorace 2011).",3.0,The default referential form signaling topic continuity is the overt pronoun.,L-Theo,True,False,0.95,"Cross-linguistic work on topic continuity (Givón 1983, Ariel 1990, inter alia) shows that zero anaphora, not overt pronouns, is the default marker of maximal topic continuity; overt pronouns signal some discontinuity.","{""veredict"":false,""confidence"":0.95,""rationale"":""Cross-linguistic work on topic continuity (Givón 1983, Ariel 1990, inter alia) shows that zero anaphora, not overt pronouns, is the default marker of maximal topic continuity; overt pronouns signal some discontinuity.""}",,,
glossa-5040-heffernan,,Showcasing the interaction of generative and emergent linguistic knowledge with case marker omission in spoken Japanese,1.0,Showcasing the interaction of generative and emergent linguistic knowledge with case marker omission in spoken Japanese,1.0,Case marker omission in spoken Japanese can showcase the interaction of generative and emergent linguistic knowledge,L-Spec,True,True,0.85,"Descriptive studies show that optional deletion of particles (ga/o/wa) in casual Japanese is constrained by both hard syntactic conditions (e.g. argument hierarchy, generative knowledge) and usage-frequency/processing factors (emergent knowledge), so the interaction is empirically attested.","{""veredict"":true,""confidence"":0.85,""rationale"":""Descriptive studies show that optional deletion of particles (ga/o/wa) in casual Japanese is constrained by both hard syntactic conditions (e.g. argument hierarchy, generative knowledge) and usage-frequency/processing factors (emergent knowledge), so the interaction is empirically attested.""}",,,
glossa-5040-heffernan,1 The emergent–generative debate,"Linguists are currently debating the nature of our grammatical knowledge. Many have argued that such knowledge is innate and that we use this knowledge to generate utterances; others have argued that grammatical knowledge emerges from linguistic experience, and that such knowledge forms exemplars for modeling novel utterances. Generative grammar advocates emphasize the way that utterances are generated by combining individual words as needed (Hauser et al. 2002; Newmeyer 2010, and many others). In contrast, emergent grammar advocates emphasize that prefabricated sequences of abstract and concrete linguistic forms are recycled (Thompson 2002; Ellis 2008; Beckner et al. 2009; Bybee 2010; Dąbrowska 2014, and many others; see MacWhinney & O’Grady 2015 and references therein).",2.0,"Many have argued that such knowledge is innate and that we use this knowledge to generate utterances; others have argued that grammatical knowledge emerges from linguistic experience, and that such knowledge forms exemplars for modeling novel utterances.",1.0,Many linguists have argued that grammatical knowledge is innate.,L-Theo,True,True,0.95,"Descriptive literature widely reports that innateness of grammar is a central claim in generative linguistics (Chomsky 1965 et al.), so the statement accurately reflects a documented scholarly position.","{""veredict"": true, ""confidence"": 0.95, ""rationale"": ""Descriptive literature widely reports that innateness of grammar is a central claim in generative linguistics (Chomsky 1965 et al.), so the statement accurately reflects a documented scholarly position.""}",,,
glossa-5040-heffernan,1 The emergent–generative debate,"Linguists are currently debating the nature of our grammatical knowledge. Many have argued that such knowledge is innate and that we use this knowledge to generate utterances; others have argued that grammatical knowledge emerges from linguistic experience, and that such knowledge forms exemplars for modeling novel utterances. Generative grammar advocates emphasize the way that utterances are generated by combining individual words as needed (Hauser et al. 2002; Newmeyer 2010, and many others). In contrast, emergent grammar advocates emphasize that prefabricated sequences of abstract and concrete linguistic forms are recycled (Thompson 2002; Ellis 2008; Beckner et al. 2009; Bybee 2010; Dąbrowska 2014, and many others; see MacWhinney & O’Grady 2015 and references therein).",2.0,"Many have argued that such knowledge is innate and that we use this knowledge to generate utterances; others have argued that grammatical knowledge emerges from linguistic experience, and that such knowledge forms exemplars for modeling novel utterances.",2.0,Many linguists have argued that grammatical knowledge is used to generate utterances.,L-Theo,True,True,0.95,"Generative frameworks (Chomsky 1957+, Jackendoff, Berwick & Chomsky 2016) explicitly claim speakers deploy a tacit generative grammar to produce novel utterances, a view widely reported in linguistic literature.","{""veredict"": true, ""confidence"": 0.95, ""rationale"": ""Generative frameworks (Chomsky 1957+, Jackendoff, Berwick & Chomsky 2016) explicitly claim speakers deploy a tacit generative grammar to produce novel utterances, a view widely reported in linguistic literature.""}",,,
glossa-5040-heffernan,1 The emergent–generative debate,"Linguists are currently debating the nature of our grammatical knowledge. Many have argued that such knowledge is innate and that we use this knowledge to generate utterances; others have argued that grammatical knowledge emerges from linguistic experience, and that such knowledge forms exemplars for modeling novel utterances. Generative grammar advocates emphasize the way that utterances are generated by combining individual words as needed (Hauser et al. 2002; Newmeyer 2010, and many others). In contrast, emergent grammar advocates emphasize that prefabricated sequences of abstract and concrete linguistic forms are recycled (Thompson 2002; Ellis 2008; Beckner et al. 2009; Bybee 2010; Dąbrowska 2014, and many others; see MacWhinney & O’Grady 2015 and references therein).",2.0,"Many have argued that such knowledge is innate and that we use this knowledge to generate utterances; others have argued that grammatical knowledge emerges from linguistic experience, and that such knowledge forms exemplars for modeling novel utterances.",3.0,Linguists have argued that grammatical knowledge emerges from linguistic experience.,L-Theo,True,True,0.95,"Generative and usage-based frameworks alike cite statistical learning from input as a key source of grammatical knowledge (e.g., Tomasello 2003, Bybee 2006).","{""veredict"": true, ""confidence"": 0.95, ""rationale"": ""Generative and usage-based frameworks alike cite statistical learning from input as a key source of grammatical knowledge (e.g., Tomasello 2003, Bybee 2006).""}",,,
glossa-5040-heffernan,1 The emergent–generative debate,"Linguists are currently debating the nature of our grammatical knowledge. Many have argued that such knowledge is innate and that we use this knowledge to generate utterances; others have argued that grammatical knowledge emerges from linguistic experience, and that such knowledge forms exemplars for modeling novel utterances. Generative grammar advocates emphasize the way that utterances are generated by combining individual words as needed (Hauser et al. 2002; Newmeyer 2010, and many others). In contrast, emergent grammar advocates emphasize that prefabricated sequences of abstract and concrete linguistic forms are recycled (Thompson 2002; Ellis 2008; Beckner et al. 2009; Bybee 2010; Dąbrowska 2014, and many others; see MacWhinney & O’Grady 2015 and references therein).",2.0,"Many have argued that such knowledge is innate and that we use this knowledge to generate utterances; others have argued that grammatical knowledge emerges from linguistic experience, and that such knowledge forms exemplars for modeling novel utterances.",4.0,Linguists have argued that grammatical knowledge forms exemplars for modeling novel utterances.,L-Theo,True,True,0.9,"Descriptive usage-based frameworks (e.g., Bybee, Langacker) treat stored exemplars as the basis speakers draw on to generalize and produce novel constructions, making the claim standard in the literature.","{""veredict"": true, ""confidence"": 0.90, ""rationale"": ""Descriptive usage-based frameworks (e.g., Bybee, Langacker) treat stored exemplars as the basis speakers draw on to generalize and produce novel constructions, making the claim standard in the literature.""}",,,
glossa-5040-heffernan,1 The emergent–generative debate,"Linguists are currently debating the nature of our grammatical knowledge. Many have argued that such knowledge is innate and that we use this knowledge to generate utterances; others have argued that grammatical knowledge emerges from linguistic experience, and that such knowledge forms exemplars for modeling novel utterances. Generative grammar advocates emphasize the way that utterances are generated by combining individual words as needed (Hauser et al. 2002; Newmeyer 2010, and many others). In contrast, emergent grammar advocates emphasize that prefabricated sequences of abstract and concrete linguistic forms are recycled (Thompson 2002; Ellis 2008; Beckner et al. 2009; Bybee 2010; Dąbrowska 2014, and many others; see MacWhinney & O’Grady 2015 and references therein).",3.0,"Generative grammar advocates emphasize the way that utterances are generated by combining individual words as needed (Hauser et al. 2002; Newmeyer 2010, and many others).",2.0,Generative grammar advocates emphasize that utterances are generated by combining individual words as needed.,L-Theo,True,False,0.9,"Generative models build hierarchical phrase/ clause structures via syntactic operations (merge, move) from lexical items and functional heads, not simple linear concatenation of pre-stored words","{""veredict"": false, ""confidence"": 0.9, ""rationale"": ""Generative models build hierarchical phrase/ clause structures via syntactic operations (merge, move) from lexical items and functional heads, not simple linear concatenation of pre-stored words""}",,,
glossa-5040-heffernan,1 The emergent–generative debate,"Linguists are currently debating the nature of our grammatical knowledge. Many have argued that such knowledge is innate and that we use this knowledge to generate utterances; others have argued that grammatical knowledge emerges from linguistic experience, and that such knowledge forms exemplars for modeling novel utterances. Generative grammar advocates emphasize the way that utterances are generated by combining individual words as needed (Hauser et al. 2002; Newmeyer 2010, and many others). In contrast, emergent grammar advocates emphasize that prefabricated sequences of abstract and concrete linguistic forms are recycled (Thompson 2002; Ellis 2008; Beckner et al. 2009; Bybee 2010; Dąbrowska 2014, and many others; see MacWhinney & O’Grady 2015 and references therein).",4.0,"In contrast, emergent grammar advocates emphasize that prefabricated sequences of abstract and concrete linguistic forms are recycled (Thompson 2002; Ellis 2008; Beckner et al. 2009; Bybee 2010; Dąbrowska 2014, and many others; see MacWhinney & O’Grady 2015 and references therein).",2.0,Emergent grammar advocates emphasize that prefabricated sequences of abstract and concrete linguistic forms are recycled.,L-Theo,True,True,0.85,"Usage-based and emergent-grammar studies (e.g., Hopper 1987, Bybee 2010) document that speakers store and redeploy both concrete chunks and abstract schemata, showing recycling is central to their model.","{""veredict"": true, ""confidence"": 0.85, ""rationale"": ""Usage-based and emergent-grammar studies (e.g., Hopper 1987, Bybee 2010) document that speakers store and redeploy both concrete chunks and abstract schemata, showing recycling is central to their model.""}",,,
glossa-5040-heffernan,1 The emergent–generative debate,"Consider Dąbrowska’s (2010) example (9a), repeated here as (1a). This sentence illustrates the long-distance dependency between the wh word in the main clause and the trace in the object position for the verb do in the subordinate clause. Dąbrowska points out that word choice in sentences with long-distance dependencies in natural conversation is constrained; that is, the main clause auxiliary in such sentences is do over 90% of the time, the subject is you about 90% of the time, and the verb is think or say about 90% of the time. Dąbrowska gave several more examples that illustrated these tendencies, and we have repeated two of them as (1b) and (1c). She concludes that utterances with long-distance dependencies followed specific templates most of the time, and emerged frequently because “they are psychologically more basic than non-prototypical ones… prototypical questions are produced more fluently, judged to be more acceptable, remembered better and acquired earlier by children” (Dąbrowska 2010: 63).",1.0,"Consider Dąbrowska’s (2010) example (9a), repeated here as (1a).  This sentence illustrates the long-distance dependency between the wh word in the main clause and the trace in the object position for the verb do in the subordinate clause.",3.0,There can be a long-distance dependency between the wh-word in the main clause and the trace in the object position for the verb 'do' in the subordinate clause.,L-Spec,True,True,1.0,"Examples like 'What do you think [CP that Mary will do ___ ?]' show the wh-word originating as the object of 'do' in the embedded clause, satisfying the long-distance dependency description.","{""veredict"": true, ""confidence"": 1.0, ""rationale"": ""Examples like 'What do you think [CP that Mary will do ___ ?]' show the wh-word originating as the object of 'do' in the embedded clause, satisfying the long-distance dependency description.""}",,,
