article	section	paragraph	sentence_idx	sentence_text	statement_idx	statement	John	Corrected Statement John	Kim	Corrected Statement Kim	Lucia	Corrected Statement Lucia	Gold	Corrected Statement Gold
					2	With the exception of Levin (1983), previous studies have accounted independently for the absolutive marking of the agentive process verbs that combine with an absolutive subject in Eastern dialects of Basque.	problem	Previous studies have accounted independently for the absolutive marking of the agentive process verbs that combine with an absolutive subject in Eastern dialects of Basque.	problem	?	problem	Levin (1983) have not accounted independently for the absolutive marking of the agentive process verbs that combine with an absolutive subject in Eastern dialects of Basque.	problem	Previous studies have accounted independently for the absolutive marking of the agentive process verbs that combine with an absolutive subject in Eastern dialects of Basque. Levin (1983) have not accounted independently for the absolutive marking of the agentive process verbs that combine with an absolutive subject in Eastern dialects of Basque.
			7	In fact, these verbs belong to semantic groups that are usually considered unergative (controlled and agentive processes), and include bazkaldu ‘have lunch’, solastatu ‘talk’, borrokatu ‘fight’ or jolastu ‘play’.	1	Agentive process verbs belong to semantic groups that are usually considered unergative, such as controlled and agentive processes.	ok		ok		ok		ok	
					2	Examples of agentive process verbs include bazkaldu, solastatu, borrokatu, and jolastu.	ok		ok		ok	Examples of agentive process verbs considered unergative include bazkaldu ‘have lunch’, solastatu ‘talk’, borrokatu ‘fight’ or jolastu ‘play’.	ok	
			8	Moreover, they behave syntactically like unergatives in their inability to undergo causativization (Oyharçabal 2003).	1	Agentive process verbs behave syntactically like unergatives in their inability to undergo causativization (Oyharçabal 2003).	ok		ok		ok		ok	
glossa-10899-aremu	Title and Abstract	Prosodically determined coordinator placement in Yorùbá	1	Prosodically determined coordinator placement in Yorùbá	1	Coordinator placement in Yorùbá is prosodically determined.	ok		ok		ok		ok	
		In this paper, we look at the properties of the clausal coordinator sì in Yorùbá. We will show that despite its unusual surface position in the middle field of the second conjunct, the element should still be treated as a proper coordinator and not, as sometimes claimed, as an adverb. We then go on to fully describe the distribution of sì in simple clauses as well as in complex constructions involving focus movement, adverbial or relative clauses. Based on these configurations, we argue that a search for a uniform syntactic position of sì is bound to be unsuccessful. Rather, we claim that the uniform underlying factor in all of these constructions is that sì always right-attaches to the first phonological phrase of the second conjunct clause irrespective of syntactic constituents or islands. We provide evidence for this claim from various phonological processes such as (i) phonological fusion, (ii) the association of floating tones, (iii) assimilation, (iv) tonal OCP-effects, and (v) allomorphy. The present study thus not only solves a curious language-specific puzzle in Yorùbá but also provides a convincing case of prosodically driven clitic displacement to a position after the first phonological/prosodic phrase. In doing so, it falls nicely into emerging typologies of clitic placement patterns in the world’s languages.		In this paper, we look at the properties of the clausal coordinator sì in Yorùbá.	1	The properties of the clausal coordinator sì in Yorùbá are described.	problem	sì is a clausal coordinator in Yorùbá.	problem		ok		problem	sì is a clausal coordinator in Yorùbá.
			2	We will show that despite its unusual surface position in the middle field of the second conjunct, the element should still be treated as a proper coordinator and not, as sometimes claimed, as an adverb.	1	The clausal coordinator sì in Yorùbá has an unusual surface position in the middle field of the second conjunct.	ok		ok		ok		ok	
					2	The clausal coordinator sì in Yorùbá is a proper coordinator.	ok		ok		ok		ok	
					3	Some sources claim that the clausal coordinator sì in Yorùbá is an adverb.	ok		ok		ok		ok	
					4	The clausal coordinator sì in Yorùbá is not an adverb.	ok		ok		ok		ok	
			3	We then go on to fully describe the distribution of sì in simple clauses as well as in complex constructions involving focus movement, adverbial or relative clauses.	1	The distribution of the clausal coordinator sì in Yorùbá is fully described in simple clauses and in complex constructions involving focus movement, adverbial clauses, or relative clauses.	problem	sì is used in simple clauses as well as in complex constructions involving focus movement, adverbial or relative clauses.	problem	.. can be ...	ok		problem	sì is used in simple clauses as well as in complex constructions involving focus movement, adverbial or relative clauses.
			4	Based on these configurations, we argue that a search for a uniform syntactic position of sì is bound to be unsuccessful.	1	Based on simple clauses and complex constructions involving focus movement, adverbial clauses, or relative clauses, a search for a uniform syntactic position of the clausal coordinator sì in Yorùbá is unsuccessful.	ok		ok		ok		ok	
			5	Rather, we claim that the uniform underlying factor in all of these constructions is that sì always right-attaches to the first phonological phrase of the second conjunct clause irrespective of syntactic constituents or islands.	1	The uniform underlying factor in simple clauses and complex constructions involving focus movement, adverbial clauses, or relative clauses is that the clausal coordinator sì in Yorùbá always right-attaches to the first phonological phrase of the second conjunct clause irrespective of syntactic constituents or islands.	ok		ok	? atomic?	ok		problem	The uniform underlying factor in simple clauses and complex constructions involving focus movement is that the clausal coordinator sì in Yorùbá always right-attaches to the first phonological phrase of the second conjunct clause irrespective of syntactic constituents or islands. The uniform underlying factor in simple clauses and complex constructions involving adverbial clauses is that the clausal coordinator sì in Yorùbá always right-attaches to the first phonological phrase of the second conjunct clause irrespective of syntactic constituents or islands. The uniform underlying factor in simple clauses and complex constructions involving relative clauses is that the clausal coordinator sì in Yorùbá always right-attaches to the first phonological phrase of the second conjunct clause irrespective of syntactic constituents or islands.
			6	We provide evidence for this claim from various phonological processes such as (i) phonological fusion, (ii) the association of floating tones, (iii) assimilation, (iv) tonal OCP-effects, and (v) allomorphy.	1	Various phonological processes, including phonological fusion, the association of floating tones, assimilation, tonal Obligatory Contour Principle (OCP)-effects, and allomorphy, provide evidence that the clausal coordinator sì in Yorùbá always right-attaches to the first phonological phrase of the second conjunct clause irrespective of syntactic constituents or islands.	problem	not atomic	ok		problem	Phonological fusion provides evidence that the clausal coordinator sì in Yorùbá always right-attaches to the first phonological phrase of the second conjunct clause irrespective of syntactic constituents or islands. 	problem	Various phonological processes provide evidence that the clausal coordinator sì in Yorùbá always right-attaches to the first phonological phrase of the second conjunct clause irrespective of syntactic constituents or islands. Phonological fusion is a phonological process.  The association of floating tones  is a phonological process. Assimilation  is a phonological process. Tonal Obligatory Contour Principle (OCP)-effects  is a phonological process. Allomorphy  is a phonological process.
			7	The present study thus not only solves a curious language-specific puzzle in Yorùbá but also provides a convincing case of prosodically driven clitic displacement to a position after the first phonological/prosodic phrase.	1	A curious language-specific puzzle in Yorùbá is solved.	ok		ok		problem	Not statement	ok	
					2	A convincing case of prosodically driven clitic displacement to a position after the first phonological/prosodic phrase is provided.	problem	Yorùbá is a convincing case of prosodically driven clitic displacement to a position after the first phonological/prosodic phrase .	ok	?	problem	Not statement	problem	Yorùbá is a convincing case of prosodically driven clitic displacement to a position after the first phonological/prosodic phrase .
			8	In doing so, it falls nicely into emerging typologies of clitic placement patterns in the world’s languages.	1	The convincing case of prosodically driven clitic displacement falls into emerging typologies of clitic placement patterns in the world’s languages.	ok		problem	if A is atomic to be sufficiently specific, and A impllies B, then no need to state B separately???	problem	Not statement	problem	Prosodically driven clitic displacement falls into emerging typologies of clitic placement patterns in the world’s languages.
glossa-5462-julien		North Sámi has a class of derived verbs called sensive verbs. Descriptively, these verbs are formed by adding the suffix /ʃ/ to an adjectival or nominal base, and the resulting verb means ‘find [object] (too) ADJECTIVE/NOUN’. In this paper it is argued that the sensive verbs do not involve any psychological verb, and the suffix is not specified as “sensive” in the lexicon. Rather, the suffix is specified as a realisation of a stative verbaliser in a transitive structure. The interpretation of the verb and the experiencer role of the subject follow from this specification in combination with the syntax of the verb phrase as a whole, which has a stative verbaliser and a Voice head on top of a minimal aP or nP. Other vocabulary items that could spell out the stative verbaliser are prevented from appearing in the sensive verb phrase, since the conditions for inserting them are not met. The consequence is that the suffix /ʃ/ is restricted to sensive verbs.	1	North Sámi has a class of derived verbs called sensive verbs.	1	In North Sámi, there is a class of derived verbs called sensive verbs.	ok		ok		ok		ok	
			2	Descriptively, these verbs are formed by adding the suffix /ʃ/ to an adjectival or nominal base, and the resulting verb means ‘find [object] (too) ADJECTIVE/NOUN’.	1	Descriptively, in North Sámi, sensive verbs are formed by adding the suffix /ʃ/ to an adjectival or nominal base.	ok		ok		ok		ok	
					2	Descriptively, in North Sámi, sensive verbs formed by adding the suffix /ʃ/ to an adjectival or nominal base mean ‘find [object] (too) ADJECTIVE/NOUN’.	problem	Descriptively, in North Sámi, the resulting sensive verb means ‘find [object] (too) ADJECTIVE/NOUN’.	ok		problem	Descriptively, in North Sámi, sensive verbs are formed by adding the suffix /ʃ/ to an adjectival or nominal base and the resulting verb means ‘find [object] (too) ADJECTIVE/NOUN’.	ok	
			3	In this paper it is argued that the sensive verbs do not involve any psychological verb, and the suffix is not specified as “sensive” in the lexicon.	1	In North Sámi, sensive verbs do not involve any psychological verb.	ok		ok		ok		ok	
					2	In North Sámi, the suffix associated with sensive verbs is not specified as “sensive” in the lexicon.	ok		ok		ok		ok	
			4	Rather, the suffix is specified as a realisation of a stative verbaliser in a transitive structure.	1	In North Sámi, the suffix associated with sensive verbs is specified as a realisation of a stative verbaliser in a transitive structure.	ok		ok		ok		ok	
			5	The interpretation of the verb and the experiencer role of the subject follow from this specification in combination with the syntax of the verb phrase as a whole, which has a stative verbaliser and a Voice head on top of a minimal aP or nP.	1	The interpretation of the sensive verb and the experiencer role of the subject follow from the specification of the suffix associated with sensive verbs as a realisation of a stative verbaliser in a transitive structure, in combination with the syntax of the verb phrase as a whole, which has a stative verbaliser and a Voice head on top of a minimal adjectival phrase (aP) or nominal phrase (nP).	ok		problem	not atomic	ok		problem	In North Sami, the interpretation of the sensive verb and the experiencer role of the subject follow from the specification of the suffix associated with sensive verbs as a realisation of a stative verbaliser in a transitive structure, in combination with the syntax of the verb phrase as a whole. In North Sami, the  verb phrase as a whole has a stative verbaliser and a Voice head on top of a minimal adjectival phrase (aP) or nominal phrase (nP).
			6	Other vocabulary items that could spell out the stative verbaliser are prevented from appearing in the sensive verb phrase, since the conditions for inserting them are not met.	1	Other vocabulary items that could spell out the stative verbaliser are prevented from appearing in the sensive verb phrase because the conditions for inserting them are not met.	ok		ok		problem		problem	There are vocabulary items in North Sami that could spell out the stative verbaliser are prevented from appearing in the sensive verb phrase because the conditions for inserting them are not met.
			7	The consequence is that the suffix /ʃ/ is restricted to sensive verbs.	1	The suffix /ʃ/ is restricted to sensive verbs as a consequence of other vocabulary items that could spell out the stative verbalizer being prevented from appearing in the sensive verb phrase because the conditions for inserting them are not met.	ok		ok		ok		ok	In North Sami, the suffix /ʃ/ is restricted to sensive verbs as a consequence of other vocabulary items that could spell out the stative verbalizer being prevented from appearing in the sensive verb phrase because the conditions for inserting them are not met.
	1 Introduction	North Sámi is known to have a rich inventory of derivational suffixes – suffixes that form verbs from nouns and adjectives or from other verbs, nouns from verbs, adjectives from nouns and verbs, to mention some main types. In this paper, I will take a closer look at one particular derivational suffix, the suffix /ʃ/, spelled š, which forms verbs from adjectives or nouns. More precisely, the suffix attaches to an adjective or noun and returns a transitive verb meaning ‘[subject] find [object] (too) ADJECTIVE/NOUN’.1 A few examples are given in (1). Note that the verbs are given in the infinitive, with the infinitival suffix -it following the derivational suffix.2	1	North Sámi is known to have a rich inventory of derivational suffixes – suffixes that form verbs from nouns and adjectives or from other verbs, nouns from verbs, adjectives from nouns and verbs, to mention some main types.	1	North Sámi has a rich inventory of derivational suffixes.	ok		ok		ok		ok	
					2	In North Sámi, derivational suffixes form verbs from nouns and adjectives.	ok		ok	atomic!	ok		ok	
					3	In North Sámi, derivational suffixes form verbs from other verbs.	ok		ok		ok		ok	
					4	In North Sámi, derivational suffixes form nouns from verbs.	ok		ok		ok		ok	
					5	In North Sámi, derivational suffixes form adjectives from nouns and verbs.	ok		ok		ok		ok	
			2	In this paper, I will take a closer look at one particular derivational suffix, the suffix /ʃ/, spelled š, which forms verbs from adjectives or nouns.	1	The suffix /ʃ/, spelled š, is a derivational suffix in North Sámi.	ok		ok		ok		ok	
					2	The suffix /ʃ/, spelled š, forms verbs from adjectives or nouns in North Sámi.	ok		ok	atomic? ambiguous	ok		ok	
			3	More precisely, the suffix attaches to an adjective or noun and returns a transitive verb meaning ‘[subject] find [object] (too) ADJECTIVE/NOUN’.1	1	In North Sámi, the derivational suffix /ʃ/ attaches to an adjective or noun.	ok		ok		ok		ok	
					2	In North Sámi, the attachment of the derivational suffix /ʃ/ to an adjective or noun returns a transitive verb.	ok		ok		ok		ok	
					3	In North Sámi, the resulting transitive verb (formed with the derivational suffix /ʃ/) means ‘[subject] find [object] (too) ADJECTIVE/NOUN’.	ok		ok		ok		ok	
			5	Note that the verbs are given in the infinitive, with the infinitival suffix -it following the derivational suffix.2	1	Sensive verbs in North Sámi are given in the infinitive.	ok		ok	In this article,?	ok	Sensive verbs in North Sámi in this paper are given in the infinitive.	ok	Sensive verbs in North Sámi in this paper are given in the infinitive.
					2	In North Sámi, the infinitival suffix -it follows the derivational suffix /ʃ/ in sensive verbs.	ok		ok		ok		ok	
glossa-8784-kocher	Title and Abstract	A sentence mood account for Spanish verum	1	A sentence mood account for Spanish verum	1	The article presents a sentence mood account for Spanish verum.	problem	Spanish verum can stem from sentence mood	ok		ok		problem	Spanish verum can stem from sentence mood
		This article argues in favor of the idea that verum can result from focus marking on sentence mood. The empirical base are verum strategies in Spanish, English and German. It is shown that all of them result from stress on sentence mood, even though the strategies to express verum in the three languages appear unrelated on a superficial level: German and English rely on stress on a finite verb, Spanish inserts a particle. In the article, a semantic and syntactic account complete each other. The semantic approach is a revised version of Lohnstein’s sentence mood theory of verum focus. The effect of verum in different sentence moods is derived by the function each mood has and the alternatives that focus on them generates. The syntactic analysis is modeled in a cartographic framework (Rizzi 1997 et seq.) and motivates a projection in the lower section of the left periphery dedicated to sentence mood. A focus feature in this projection results in the verum interpretation of the proposition. The principal argument developed in this article is that the superficial differences across languages and clause types result from the fact that the focused mood feature is checked in different configurations.		This article argues in favor of the idea that verum can result from focus marking on sentence mood.	1	Verum can result from focus marking on sentence mood.	ok		ok		ok		ok	
			2	The empirical base are verum strategies in Spanish, English and German.	1	Verum strategies in Spanish, English, and German constitute the empirical base of the article's claims.	problem	not atomic	ok		ok		ok	
			3	It is shown that all of them result from stress on sentence mood, even though the strategies to express verum in the three languages appear unrelated on a superficial level: German and English rely on stress on a finite verb, Spanish inserts a particle.	1	All verum strategies in Spanish, English, and German result from stress on sentence mood.	problem	not atomic	ok		ok		problem	All verum strategies in Spanish result from stress on sentence mood. All verum strategies in English result from stress on sentence mood. All verum strategies in German result from stress on sentence mood.
					2	The strategies to express verum in Spanish, English, and German appear unrelated on a superficial level.	ok		ok		ok		ok	
					3	In German, verum strategies rely on stress on a finite verb.	ok		ok		ok		ok	
					4	In English, verum strategies rely on stress on a finite verb.	ok		ok		ok		ok	
					5	In Spanish, verum strategies insert a particle.	ok		ok		ok		ok	
			4	In the article, a semantic and syntactic account complete each other.	1	A semantic account and a syntactic account complete each other.	ok		ok	change guide to: if no scientific claim is made, the statement should keep the "in this article"...	ok		ok	In this article, a semantic account and a syntactic account complete each other.
			5	The semantic approach is a revised version of Lohnstein’s sentence mood theory of verum focus.	1	The semantic approach is a revised version of Lohnstein’s sentence mood theory of verum focus.	problem	Lohnstein proposed a sentence mood theory of verum focus. Lohnstein's sentence mood theory can provide a semantic approach to analyze Spanish verum.	problem	this and the following: S structural statements?	ok		ok	Lohnstein proposed a sentence mood theory of verum focus. Lohnstein's sentence mood theory can provide a semantic approach to analyze Spanish verum.
			6	The effect of verum in different sentence moods is derived by the function each mood has and the alternatives that focus on them generates.	1	The effect of verum in different sentence moods is derived by the function each sentence mood has and the alternatives that focus on each sentence mood generates.	problem	not atomic	ok		ok		ok	
			7	The syntactic analysis is modeled in a cartographic framework (Rizzi 1997 et seq.) and motivates a projection in the lower section of the left periphery dedicated to sentence mood.	1	The syntactic analysis is modeled in a cartographic framework (Rizzi 1997 et seq.).	problem	Rizzi (1997 et seq.) described a cartographic framework   Rizzi's cartographic framework can be the model for syntactic analysis of Spanish verum.	ok	can be?	ok		problem	Rizzi (1997 et seq.) described a cartographic framework   Rizzi's cartographic framework can be the model for syntactic analysis of Spanish verum.
					2	The syntactic analysis motivates a projection in the lower section of the left periphery dedicated to sentence mood.	problem	The syntactic analysis of Spanish verum motivates a projection in the lower section of the left periphery dedicated to sentence mood.	ok		ok		ok	
			8	A focus feature in this projection results in the verum interpretation of the proposition.	1	A focus feature in a projection in the lower section of the left periphery dedicated to sentence mood results in the verum interpretation of the proposition.	ok		ok		ok		ok	
			9	The principal argument developed in this article is that the superficial differences across languages and clause types result from the fact that the focused mood feature is checked in different configurations.	1	The superficial differences across languages and clause types result from the fact that the focused mood feature is checked in different configurations.	problem	not atomic	ok		ok		problem	The superficial differences in verum focus across languages result from the fact that the focused mood feature is checked in different configurations. The superficial differences in verum focus across clause types result from the fact that the focused mood feature is checked in different configurations.
glossa-5286-contemori		Studies on second language (L2) anaphora resolution have mainly focused on learners of null-subject languages, demonstrating that L2 speakers show residual indeterminacy in the L2 referential choice, even at the highest levels of proficiency. On the other hand, studies on anaphora resolution in L2 learners of non-null-subject languages have shown conflicting results, indicating that L2 speakers may process referential expressions in the L2 like native speakers.Using a visual word paradigm task, we test the online processing of pronouns in highly proficient L2 speakers of English whose L1 is Spanish, and compare their performance to a group of native English speakers. The native speakers’ data show rapid use of the first mention bias (i.e., interpreting a pronoun towards the first-mentioned referent) and gender information upon encountering a gender ambiguous or unambiguous pronoun. For the L2 participants, we find similar underlying processes of pronoun resolution in comparison to native speakers. The results do not reveal a processing cost for L2 speakers of a non-null-subject language during anaphora resolution. Overall, our study demonstrates that L2 speakers of a non-null-subject language (English) can achieve native-like processing of the default referential form signaling topic continuity (i.e., the overt pronoun; Sorace 2011).	1	Studies on second language (L2) anaphora resolution have mainly focused on learners of null-subject languages, demonstrating that L2 speakers show residual indeterminacy in the L2 referential choice, even at the highest levels of proficiency.	1	Studies on second language (L2) anaphora resolution have mainly focused on learners of null-subject languages.	ok		ok		ok		ok	
					2	Studies on second language (L2) anaphora resolution demonstrate that L2 speakers show residual indeterminacy in the L2 referential choice, even at the highest levels of proficiency.	ok		ok		ok		ok	
			2	On the other hand, studies on anaphora resolution in L2 learners of non-null-subject languages have shown conflicting results, indicating that L2 speakers may process referential expressions in the L2 like native speakers.Using a visual word paradigm task, we test the online processing of pronouns in highly proficient L2 speakers of English whose L1 is Spanish, and compare their performance to a group of native English speakers.	1	Studies on anaphora resolution in second language (L2) learners of non-null-subject languages have shown conflicting results.	problem	Studies on anaphora resolution in second language (L2) learners of null-subject and non-null-subject languages have shown conflicting results regarding referential choice.	ok		ok		ok	
					2	Studies on anaphora resolution in second language (L2) learners of non-null-subject languages indicate that L2 speakers may process referential expressions in the L2 like native speakers.	ok		ok		ok		ok	
					3	The current study tests the online processing of pronouns in highly proficient second language (L2) speakers of English whose first language (L1) is Spanish using a visual word paradigm task.	ok	Online processing of pronouns in highly proficient L2 speakers of English whose L1 is Spanish can be tested using a visual word paradigm task. 	ok		ok		ok	Online processing of pronouns in highly proficient L2 speakers of English whose L1 is Spanish can be tested using a visual word paradigm task. 
					4	The current study compares the performance of highly proficient second language (L2) speakers of English whose first language (L1) is Spanish to a group of native English speakers.	ok	(Type S)	ok		ok		ok	The performance of highly proficient second language (L2) speakers of English whose first language (L1) is Spanish and the performance of group of native English speakers can be compared using a visual word paradigm task.
			3	The native speakers’ data show rapid use of the first mention bias (i.e., interpreting a pronoun towards the first-mentioned referent) and gender information upon encountering a gender ambiguous or unambiguous pronoun.	1	The data from the native English speakers in the current study show rapid use of the first mention bias, which is interpreting a pronoun towards the first-mentioned referent.	problem	Native English speakers show rapid use of the first mention bias, which is interpreting a pronoun towards the first-mentioned referent.	ok		ok		problem	Native English speakers show rapid use of the first mention bias, which is interpreting a pronoun towards the first-mentioned referent.
					2	The data from the native English speakers in the current study show rapid use of gender information upon encountering a gender ambiguous or unambiguous pronoun.	problem	Native English speakers show rapid use of gender information upon encountering a gender ambiguous or unambiguous pronoun.	ok		ok		problem	Native English speakers show rapid use of gender information upon encountering a gender ambiguous or unambiguous pronoun.
			4	For the L2 participants, we find similar underlying processes of pronoun resolution in comparison to native speakers.	1	The current study finds similar underlying processes of pronoun resolution for the highly proficient second language (L2) speakers of English whose first language (L1) is Spanish in comparison to native English speakers.	ok	The underlying processes of pronoun resolution is similar for native English speakers and the highly proficient second language (L2) speakers of English whose first language (L1) is Spanish.	ok	see new rule above	ok		ok	The underlying processes of pronoun resolution is similar for native English speakers and the highly proficient second language (L2) speakers of English whose first language (L1) is Spanish.
			5	The results do not reveal a processing cost for L2 speakers of a non-null-subject language during anaphora resolution.	1	The results of the current study do not reveal a processing cost for highly proficient second language (L2) speakers of English during anaphora resolution.	problem	There is no processing cost for highly proficient second language (L2) speakers of English during anaphora resolution.	problem		problem	The results of the current study do not reveal a processing cost for highly proficient second language (L2) speakers of a non-null-subject language  during anaphora resolution.	ok	There is no processing cost for highly proficient second language (L2) speakers of English during anaphora resolution.
			6	Overall, our study demonstrates that L2 speakers of a non-null-subject language (English) can achieve native-like processing of the default referential form signaling topic continuity (i.e., the overt pronoun; Sorace 2011).	1	The current study demonstrates that highly proficient second language (L2) speakers of English can achieve native-like processing of the default referential form signaling topic continuity.	problem	Highly proficient second language (L2) speakers of English can achieve native-like processing of the default referential form signaling topic continuity.	problem		ok		ok	Highly proficient second language (L2) speakers of English can achieve native-like processing of the default referential form signaling topic continuity.
					2	The default referential form signaling topic continuity is the overt pronoun (Sorace 2011).	ok		ok		ok		ok	
glossa-5040-heffernan		Showcasing the interaction of generative and emergent linguistic knowledge with case marker omission in spoken Japanese	1	Showcasing the interaction of generative and emergent linguistic knowledge with case marker omission in spoken Japanese	1	There is an interaction of generative linguistic knowledge and emergent linguistic knowledge with case marker omission in spoken Japanese.	ok	Case marker omission in spoken Japanese can showcase the interaction of generative and emergent linguistic knowledge	ok	titles to be removed	ok		ok	Case marker omission in spoken Japanese can showcase the interaction of generative and emergent linguistic knowledge
	1 The emergent–generative debate	Linguists are currently debating the nature of our grammatical knowledge. Many have argued that such knowledge is innate and that we use this knowledge to generate utterances; others have argued that grammatical knowledge emerges from linguistic experience, and that such knowledge forms exemplars for modeling novel utterances. Generative grammar advocates emphasize the way that utterances are generated by combining individual words as needed (Hauser et al. 2002; Newmeyer 2010, and many others). In contrast, emergent grammar advocates emphasize that prefabricated sequences of abstract and concrete linguistic forms are recycled (Thompson 2002; Ellis 2008; Beckner et al. 2009; Bybee 2010; Dąbrowska 2014, and many others; see MacWhinney & O’Grady 2015 and references therein).		Linguists are currently debating the nature of our grammatical knowledge.	1	Linguists are currently debating the nature of grammatical knowledge.	ok		ok		ok		ok	
			2	Many have argued that such knowledge is innate and that we use this knowledge to generate utterances; others have argued that grammatical knowledge emerges from linguistic experience, and that such knowledge forms exemplars for modeling novel utterances.	1	Many linguists have argued that grammatical knowledge is innate.	ok		ok		ok		ok	
					2	Many linguists have argued that grammatical knowledge is used to generate utterances.	ok		ok		ok		ok	
					3	Other linguists have argued that grammatical knowledge emerges from linguistic experience.	problem	Many linguists have argued that grammatical knowledge emerges from linguistic experience.	problem	no "other" --> some	problem	Linguists have argued that grammatical knowledge emerges from linguistic experience.	problem	Linguists have argued that grammatical knowledge emerges from linguistic experience.
					4	Other linguists have argued that grammatical knowledge forms exemplars for modeling novel utterances.	problem	Many linguists have argued that grammatical knowledge forms exemplars for modeling novel utterances.	problem		problem	Linguists have argued that grammatical knowledge forms exemplars for modeling novel utterances.	problem	Linguists have argued that grammatical knowledge forms exemplars for modeling novel utterances.
