article,section,paragraph,sentence_idx,sentence_text,statement_idx,statement,KIM Class,KIM Language,JOHN Class,JOHN Language,LUCIA Class,LUCIA Language,GEMINI Class,GEMINI Language,OPENAI Class,OPENAI Language,Gold Class,verdict,confidence,rationale,raw_response,Gold Verification
glossa-10899-aremu,Title and Abstract,"In this paper, we look at the properties of the clausal coordinator sì in Yorùbá. We will show that despite its unusual surface position in the middle field of the second conjunct, the element should still be treated as a proper coordinator and not, as sometimes claimed, as an adverb. We then go on to fully describe the distribution of sì in simple clauses as well as in complex constructions involving focus movement, adverbial or relative clauses. Based on these configurations, we argue that a search for a uniform syntactic position of sì is bound to be unsuccessful. Rather, we claim that the uniform underlying factor in all of these constructions is that sì always right-attaches to the first phonological phrase of the second conjunct clause irrespective of syntactic constituents or islands. We provide evidence for this claim from various phonological processes such as (i) phonological fusion, (ii) the association of floating tones, (iii) assimilation, (iv) tonal OCP-effects, and (v) allomorphy. The present study thus not only solves a curious language-specific puzzle in Yorùbá but also provides a convincing case of prosodically driven clitic displacement to a position after the first phonological/prosodic phrase. In doing so, it falls nicely into emerging typologies of clitic placement patterns in the world’s languages.",6.0,"We provide evidence for this claim from various phonological processes such as (i) phonological fusion, (ii) the association of floating tones, (iii) assimilation, (iv) tonal OCP-effects, and (v) allomorphy.",1.0,Various phonological processes provide evidence that the clausal coordinator sì in Yorùbá always right-attaches to the first phonological phrase of the second conjunct clause irrespective of syntactic constituents or islands.,L-Spec,Yoruba,L-Spec,Yorùbá,L-Spec,Yorùbá,L-Spec,Yorùbá,L-Spec,Yorùbá,L-Spec,False,0.66,"The claim is too strong: while some accounts argue Yorùbá clausal coordinator ""sì"" shows prosodic (right-)attachment effects, it is not established as an absolute ""always"" pattern independent of syntax/islands; the behavior varies by construction and analyses differ, so stating it as invariant fact is inaccurate.","{""verdict"":false,""confidence"":0.66,""rationale"":""The claim is too strong: while some accounts argue Yorùbá clausal coordinator \""sì\"" shows prosodic (right-)attachment effects, it is not established as an absolute \""always\"" pattern independent of syntax/islands; the behavior varies by construction and analyses differ, so stating it as invariant fact is inaccurate.""}",True
glossa-10899-aremu,Title and Abstract,"In this paper, we look at the properties of the clausal coordinator sì in Yorùbá. We will show that despite its unusual surface position in the middle field of the second conjunct, the element should still be treated as a proper coordinator and not, as sometimes claimed, as an adverb. We then go on to fully describe the distribution of sì in simple clauses as well as in complex constructions involving focus movement, adverbial or relative clauses. Based on these configurations, we argue that a search for a uniform syntactic position of sì is bound to be unsuccessful. Rather, we claim that the uniform underlying factor in all of these constructions is that sì always right-attaches to the first phonological phrase of the second conjunct clause irrespective of syntactic constituents or islands. We provide evidence for this claim from various phonological processes such as (i) phonological fusion, (ii) the association of floating tones, (iii) assimilation, (iv) tonal OCP-effects, and (v) allomorphy. The present study thus not only solves a curious language-specific puzzle in Yorùbá but also provides a convincing case of prosodically driven clitic displacement to a position after the first phonological/prosodic phrase. In doing so, it falls nicely into emerging typologies of clitic placement patterns in the world’s languages.",6.0,"We provide evidence for this claim from various phonological processes such as (i) phonological fusion, (ii) the association of floating tones, (iii) assimilation, (iv) tonal OCP-effects, and (v) allomorphy.",2.0,Phonological fusion is a phonological process.,L-Theo,,L-Theo,,L-Theo,,L-Theo,,S,,L-Theo,True,0.83,"Phonological fusion refers to the merging of sounds/segments in speech (often in sandhi or historical change), which is treated in linguistics as a type of phonological process.","{""verdict"":true,""confidence"":0.83,""rationale"":""Phonological fusion refers to the merging of sounds/segments in speech (often in sandhi or historical change), which is treated in linguistics as a type of phonological process.""}",True
glossa-10899-aremu,Title and Abstract,"In this paper, we look at the properties of the clausal coordinator sì in Yorùbá. We will show that despite its unusual surface position in the middle field of the second conjunct, the element should still be treated as a proper coordinator and not, as sometimes claimed, as an adverb. We then go on to fully describe the distribution of sì in simple clauses as well as in complex constructions involving focus movement, adverbial or relative clauses. Based on these configurations, we argue that a search for a uniform syntactic position of sì is bound to be unsuccessful. Rather, we claim that the uniform underlying factor in all of these constructions is that sì always right-attaches to the first phonological phrase of the second conjunct clause irrespective of syntactic constituents or islands. We provide evidence for this claim from various phonological processes such as (i) phonological fusion, (ii) the association of floating tones, (iii) assimilation, (iv) tonal OCP-effects, and (v) allomorphy. The present study thus not only solves a curious language-specific puzzle in Yorùbá but also provides a convincing case of prosodically driven clitic displacement to a position after the first phonological/prosodic phrase. In doing so, it falls nicely into emerging typologies of clitic placement patterns in the world’s languages.",6.0,"We provide evidence for this claim from various phonological processes such as (i) phonological fusion, (ii) the association of floating tones, (iii) assimilation, (iv) tonal OCP-effects, and (v) allomorphy.",3.0,The association of floating tones is a phonological process.,L-Theo,,L-Theo,,L-Theo,,L-Theo,,L-Theo,,L-Theo,True,0.86,"In autosegmental phonology, tones can exist as floating (unlinked) features and later associate/link to tone-bearing units via phonological association rules/processes; this is treated as a phonological process rather than a purely phonetic one.","{""verdict"":true,""confidence"":0.86,""rationale"":""In autosegmental phonology, tones can exist as floating (unlinked) features and later associate/link to tone-bearing units via phonological association rules/processes; this is treated as a phonological process rather than a purely phonetic one.""}",True
glossa-10899-aremu,Title and Abstract,"In this paper, we look at the properties of the clausal coordinator sì in Yorùbá. We will show that despite its unusual surface position in the middle field of the second conjunct, the element should still be treated as a proper coordinator and not, as sometimes claimed, as an adverb. We then go on to fully describe the distribution of sì in simple clauses as well as in complex constructions involving focus movement, adverbial or relative clauses. Based on these configurations, we argue that a search for a uniform syntactic position of sì is bound to be unsuccessful. Rather, we claim that the uniform underlying factor in all of these constructions is that sì always right-attaches to the first phonological phrase of the second conjunct clause irrespective of syntactic constituents or islands. We provide evidence for this claim from various phonological processes such as (i) phonological fusion, (ii) the association of floating tones, (iii) assimilation, (iv) tonal OCP-effects, and (v) allomorphy. The present study thus not only solves a curious language-specific puzzle in Yorùbá but also provides a convincing case of prosodically driven clitic displacement to a position after the first phonological/prosodic phrase. In doing so, it falls nicely into emerging typologies of clitic placement patterns in the world’s languages.",6.0,"We provide evidence for this claim from various phonological processes such as (i) phonological fusion, (ii) the association of floating tones, (iii) assimilation, (iv) tonal OCP-effects, and (v) allomorphy.",4.0,Assimilation  is a phonological process.,L-Theo,,L-Theo,,L-Theo,,L-Theo,,L-Theo,,L-Theo,True,0.98,"Assimilation involves a sound becoming more like a neighboring sound (e.g., in place/voicing), which is a standard phonological process (often with phonetic realization).","{""verdict"":true,""confidence"":0.98,""rationale"":""Assimilation involves a sound becoming more like a neighboring sound (e.g., in place/voicing), which is a standard phonological process (often with phonetic realization).""}",True
glossa-10899-aremu,Title and Abstract,"In this paper, we look at the properties of the clausal coordinator sì in Yorùbá. We will show that despite its unusual surface position in the middle field of the second conjunct, the element should still be treated as a proper coordinator and not, as sometimes claimed, as an adverb. We then go on to fully describe the distribution of sì in simple clauses as well as in complex constructions involving focus movement, adverbial or relative clauses. Based on these configurations, we argue that a search for a uniform syntactic position of sì is bound to be unsuccessful. Rather, we claim that the uniform underlying factor in all of these constructions is that sì always right-attaches to the first phonological phrase of the second conjunct clause irrespective of syntactic constituents or islands. We provide evidence for this claim from various phonological processes such as (i) phonological fusion, (ii) the association of floating tones, (iii) assimilation, (iv) tonal OCP-effects, and (v) allomorphy. The present study thus not only solves a curious language-specific puzzle in Yorùbá but also provides a convincing case of prosodically driven clitic displacement to a position after the first phonological/prosodic phrase. In doing so, it falls nicely into emerging typologies of clitic placement patterns in the world’s languages.",6.0,"We provide evidence for this claim from various phonological processes such as (i) phonological fusion, (ii) the association of floating tones, (iii) assimilation, (iv) tonal OCP-effects, and (v) allomorphy.",5.0,Tonal Obligatory Contour Principle (OCP)-effects  is a phonological process.,L-Theo,,L-Theo,,L-Theo,,L-Theo,,L-Theo,,L-Theo,False,0.82,"OCP-effects describe constraints/tendencies (often captured as an Obligatory Contour Principle constraint) that avoid adjacent identical tones; they are not a single phonological ""process"" in the usual sense, though they can trigger processes like dissimilation or fusion.","{""verdict"":false,""confidence"":0.82,""rationale"":""OCP-effects describe constraints/tendencies (often captured as an Obligatory Contour Principle constraint) that avoid adjacent identical tones; they are not a single phonological \""process\"" in the usual sense, though they can trigger processes like dissimilation or fusion.""}",True
glossa-10899-aremu,Title and Abstract,"In this paper, we look at the properties of the clausal coordinator sì in Yorùbá. We will show that despite its unusual surface position in the middle field of the second conjunct, the element should still be treated as a proper coordinator and not, as sometimes claimed, as an adverb. We then go on to fully describe the distribution of sì in simple clauses as well as in complex constructions involving focus movement, adverbial or relative clauses. Based on these configurations, we argue that a search for a uniform syntactic position of sì is bound to be unsuccessful. Rather, we claim that the uniform underlying factor in all of these constructions is that sì always right-attaches to the first phonological phrase of the second conjunct clause irrespective of syntactic constituents or islands. We provide evidence for this claim from various phonological processes such as (i) phonological fusion, (ii) the association of floating tones, (iii) assimilation, (iv) tonal OCP-effects, and (v) allomorphy. The present study thus not only solves a curious language-specific puzzle in Yorùbá but also provides a convincing case of prosodically driven clitic displacement to a position after the first phonological/prosodic phrase. In doing so, it falls nicely into emerging typologies of clitic placement patterns in the world’s languages.",6.0,"We provide evidence for this claim from various phonological processes such as (i) phonological fusion, (ii) the association of floating tones, (iii) assimilation, (iv) tonal OCP-effects, and (v) allomorphy.",6.0,Allomorphy  is a phonological process.,L-Theo,,L-Theo,,L-Theo,,L-Theo,,L-Theo,,L-Theo,False,0.78,"Allomorphy is primarily a morphological phenomenon (different realizations of a morpheme), though the choice among allomorphs can be conditioned by phonology; it is not itself a purely phonological process.","{""verdict"":false,""confidence"":0.78,""rationale"":""Allomorphy is primarily a morphological phenomenon (different realizations of a morpheme), though the choice among allomorphs can be conditioned by phonology; it is not itself a purely phonological process.""}",True
glossa-10899-aremu,Title and Abstract,"In this paper, we look at the properties of the clausal coordinator sì in Yorùbá. We will show that despite its unusual surface position in the middle field of the second conjunct, the element should still be treated as a proper coordinator and not, as sometimes claimed, as an adverb. We then go on to fully describe the distribution of sì in simple clauses as well as in complex constructions involving focus movement, adverbial or relative clauses. Based on these configurations, we argue that a search for a uniform syntactic position of sì is bound to be unsuccessful. Rather, we claim that the uniform underlying factor in all of these constructions is that sì always right-attaches to the first phonological phrase of the second conjunct clause irrespective of syntactic constituents or islands. We provide evidence for this claim from various phonological processes such as (i) phonological fusion, (ii) the association of floating tones, (iii) assimilation, (iv) tonal OCP-effects, and (v) allomorphy. The present study thus not only solves a curious language-specific puzzle in Yorùbá but also provides a convincing case of prosodically driven clitic displacement to a position after the first phonological/prosodic phrase. In doing so, it falls nicely into emerging typologies of clitic placement patterns in the world’s languages.",7.0,The present study thus not only solves a curious language-specific puzzle in Yorùbá but also provides a convincing case of prosodically driven clitic displacement to a position after the first phonological/prosodic phrase.,2.0,Yorùbá is a convincing case of prosodically driven clitic displacement to a position after the first phonological/prosodic phrase .,L-Spec,Yoruba,L-Spec,Yorùbá,L-Spec,Yorùbá,L-Spec,Yorùbá,L-Spec,Yoruba,L-Spec,False,0.62,"Yorùbá has second-position-like elements (e.g., some focus/tense/aspect particles) and prosodic phrasing effects, but it is not generally established as a clear, uncontroversial case of prosodically driven clitic displacement specifically to after the first phonological/prosodic phrase; the analysis is debated and depends on theory and on whether the items are clitics vs particles/functional heads.","{""verdict"":false,""confidence"":0.62,""rationale"":""Yorùbá has second-position-like elements (e.g., some focus/tense/aspect particles) and prosodic phrasing effects, but it is not generally established as a clear, uncontroversial case of prosodically driven clitic displacement specifically to after the first phonological/prosodic phrase; the analysis is debated and depends on theory and on whether the items are clitics vs particles/functional heads.""}",True
glossa-10899-aremu,Title and Abstract,"In this paper, we look at the properties of the clausal coordinator sì in Yorùbá. We will show that despite its unusual surface position in the middle field of the second conjunct, the element should still be treated as a proper coordinator and not, as sometimes claimed, as an adverb. We then go on to fully describe the distribution of sì in simple clauses as well as in complex constructions involving focus movement, adverbial or relative clauses. Based on these configurations, we argue that a search for a uniform syntactic position of sì is bound to be unsuccessful. Rather, we claim that the uniform underlying factor in all of these constructions is that sì always right-attaches to the first phonological phrase of the second conjunct clause irrespective of syntactic constituents or islands. We provide evidence for this claim from various phonological processes such as (i) phonological fusion, (ii) the association of floating tones, (iii) assimilation, (iv) tonal OCP-effects, and (v) allomorphy. The present study thus not only solves a curious language-specific puzzle in Yorùbá but also provides a convincing case of prosodically driven clitic displacement to a position after the first phonological/prosodic phrase. In doing so, it falls nicely into emerging typologies of clitic placement patterns in the world’s languages.",8.0,"In doing so, it falls nicely into emerging typologies of clitic placement patterns in the world’s languages.",1.0,Prosodically driven clitic displacement falls into emerging typologies of clitic placement patterns in the world’s languages.,L-Theo,,L-Typo,,L-Typo,,L-Typo,,L-Typo,,L-Typo,True,0.62,"Prosody-driven clitic displacement is documented in multiple languages and is discussed within cross-linguistic typologies of clitic placement (often alongside syntax- and morphology-driven patterns). However, calling these typologies ""emerging"" is vague and not a precise, universally established claim.","{""verdict"":true,""confidence"":0.62,""rationale"":""Prosody-driven clitic displacement is documented in multiple languages and is discussed within cross-linguistic typologies of clitic placement (often alongside syntax- and morphology-driven patterns). However, calling these typologies \""emerging\"" is vague and not a precise, universally established claim.""}",True
glossa-5462-julien,Title and Abstract,"North Sámi has a class of derived verbs called sensive verbs. Descriptively, these verbs are formed by adding the suffix /ʃ/ to an adjectival or nominal base, and the resulting verb means ‘find [object] (too) ADJECTIVE/NOUN’. In this paper it is argued that the sensive verbs do not involve any psychological verb, and the suffix is not specified as “sensive” in the lexicon. Rather, the suffix is specified as a realisation of a stative verbaliser in a transitive structure. The interpretation of the verb and the experiencer role of the subject follow from this specification in combination with the syntax of the verb phrase as a whole, which has a stative verbaliser and a Voice head on top of a minimal aP or nP. Other vocabulary items that could spell out the stative verbaliser are prevented from appearing in the sensive verb phrase, since the conditions for inserting them are not met. The consequence is that the suffix /ʃ/ is restricted to sensive verbs.",1.0,North Sámi has a class of derived verbs called sensive verbs.,1.0,"In North Sámi, there is a class of derived verbs called sensive verbs.",L-Spec,North Sami,L-Spec,North Sámi,L-Spec,North Sámi,L-Spec,North Sámi,L-Spec,North Sámi,L-Spec,True,0.74,"North Sámi grammars describe a derivational verb class commonly termed “sensive” (often alongside inchoative, causative, etc.), formed with specific suffixes and expressing sensory/perceptual experience (e.g., ‘feel/smell/taste like’).","{""verdict"":true,""confidence"":0.74,""rationale"":""North Sámi grammars describe a derivational verb class commonly termed “sensive” (often alongside inchoative, causative, etc.), formed with specific suffixes and expressing sensory/perceptual experience (e.g., ‘feel/smell/taste like’).""}",True
glossa-5462-julien,Title and Abstract,"North Sámi has a class of derived verbs called sensive verbs. Descriptively, these verbs are formed by adding the suffix /ʃ/ to an adjectival or nominal base, and the resulting verb means ‘find [object] (too) ADJECTIVE/NOUN’. In this paper it is argued that the sensive verbs do not involve any psychological verb, and the suffix is not specified as “sensive” in the lexicon. Rather, the suffix is specified as a realisation of a stative verbaliser in a transitive structure. The interpretation of the verb and the experiencer role of the subject follow from this specification in combination with the syntax of the verb phrase as a whole, which has a stative verbaliser and a Voice head on top of a minimal aP or nP. Other vocabulary items that could spell out the stative verbaliser are prevented from appearing in the sensive verb phrase, since the conditions for inserting them are not met. The consequence is that the suffix /ʃ/ is restricted to sensive verbs.",2.0,"Descriptively, these verbs are formed by adding the suffix /ʃ/ to an adjectival or nominal base, and the resulting verb means ‘find [object] (too) ADJECTIVE/NOUN’.",1.0,"Descriptively, in North Sámi, sensive verbs are formed by adding the suffix /ʃ/ to an adjectival or nominal base.",L-Spec,North Sami,L-Spec,North Sámi,L-Spec,North Sámi,L-Spec,North Sámi,L-Spec,North Sámi,L-Spec,False,0.63,"North Sámi does not generally form a class of “sensive verbs” by adding a /ʃ/ suffix to adjectival or nominal bases; common verb-forming suffixes involve -šit/-šat etc. with additional segments (vowel + t), and the category/term as stated is not a standard descriptive generalization.","{""verdict"":false,""confidence"":0.63,""rationale"":""North Sámi does not generally form a class of “sensive verbs” by adding a /ʃ/ suffix to adjectival or nominal bases; common verb-forming suffixes involve -šit/-šat etc. with additional segments (vowel + t), and the category/term as stated is not a standard descriptive generalization.""}",True
glossa-5462-julien,Title and Abstract,"North Sámi has a class of derived verbs called sensive verbs. Descriptively, these verbs are formed by adding the suffix /ʃ/ to an adjectival or nominal base, and the resulting verb means ‘find [object] (too) ADJECTIVE/NOUN’. In this paper it is argued that the sensive verbs do not involve any psychological verb, and the suffix is not specified as “sensive” in the lexicon. Rather, the suffix is specified as a realisation of a stative verbaliser in a transitive structure. The interpretation of the verb and the experiencer role of the subject follow from this specification in combination with the syntax of the verb phrase as a whole, which has a stative verbaliser and a Voice head on top of a minimal aP or nP. Other vocabulary items that could spell out the stative verbaliser are prevented from appearing in the sensive verb phrase, since the conditions for inserting them are not met. The consequence is that the suffix /ʃ/ is restricted to sensive verbs.",2.0,"Descriptively, these verbs are formed by adding the suffix /ʃ/ to an adjectival or nominal base, and the resulting verb means ‘find [object] (too) ADJECTIVE/NOUN’.",2.0,"Descriptively, in North Sámi, sensive verbs formed by adding the suffix /ʃ/ to an adjectival or nominal base mean ‘find [object] (too) ADJECTIVE/NOUN’.",L-Spec,North Sami,L-Spec,North Sámi,L-Spec,North Sámi,L-Spec,North Sámi,L-Spec,North Sámi,L-Spec,False,0.62,"North Sámi has a known class of “sensive” verbs meaning ‘find/consider X ADJ’ (often with a ‘too’/evaluative flavor), but they are not formed by adding a suffix /ʃ/; the relevant derivational suffix is typically represented as -šit (and related allomorphs), not a bare /ʃ/.","{""verdict"":false,""confidence"":0.62,""rationale"":""North Sámi has a known class of “sensive” verbs meaning ‘find/consider X ADJ’ (often with a ‘too’/evaluative flavor), but they are not formed by adding a suffix /ʃ/; the relevant derivational suffix is typically represented as -šit (and related allomorphs), not a bare /ʃ/.""}",True
glossa-5462-julien,Title and Abstract,"North Sámi has a class of derived verbs called sensive verbs. Descriptively, these verbs are formed by adding the suffix /ʃ/ to an adjectival or nominal base, and the resulting verb means ‘find [object] (too) ADJECTIVE/NOUN’. In this paper it is argued that the sensive verbs do not involve any psychological verb, and the suffix is not specified as “sensive” in the lexicon. Rather, the suffix is specified as a realisation of a stative verbaliser in a transitive structure. The interpretation of the verb and the experiencer role of the subject follow from this specification in combination with the syntax of the verb phrase as a whole, which has a stative verbaliser and a Voice head on top of a minimal aP or nP. Other vocabulary items that could spell out the stative verbaliser are prevented from appearing in the sensive verb phrase, since the conditions for inserting them are not met. The consequence is that the suffix /ʃ/ is restricted to sensive verbs.",3.0,"In this paper it is argued that the sensive verbs do not involve any psychological verb, and the suffix is not specified as “sensive” in the lexicon.",1.0,"In North Sámi, sensive verbs do not involve any psychological verb.",L-Spec,North Sami,L-Spec,North Sámi,L-Spec,North Sámi,L-Spec,North Sámi,L-Spec,North Sámi,L-Spec,False,0.62,"As stated, it is incorrect/ill-formed: “sensive” verbs (verbs of perception like ‘see’, ‘hear’, ‘feel’) are commonly analyzed as a subset of psychological verbs/cognition–perception predicates in many linguistic traditions, including for Sámi descriptions; they are not categorically separate from psychological verbs in North Sámi.","{""verdict"":false,""confidence"":0.62,""rationale"":""As stated, it is incorrect/ill-formed: “sensive” verbs (verbs of perception like ‘see’, ‘hear’, ‘feel’) are commonly analyzed as a subset of psychological verbs/cognition–perception predicates in many linguistic traditions, including for Sámi descriptions; they are not categorically separate from psychological verbs in North Sámi.""}",True
glossa-5462-julien,Title and Abstract,"North Sámi has a class of derived verbs called sensive verbs. Descriptively, these verbs are formed by adding the suffix /ʃ/ to an adjectival or nominal base, and the resulting verb means ‘find [object] (too) ADJECTIVE/NOUN’. In this paper it is argued that the sensive verbs do not involve any psychological verb, and the suffix is not specified as “sensive” in the lexicon. Rather, the suffix is specified as a realisation of a stative verbaliser in a transitive structure. The interpretation of the verb and the experiencer role of the subject follow from this specification in combination with the syntax of the verb phrase as a whole, which has a stative verbaliser and a Voice head on top of a minimal aP or nP. Other vocabulary items that could spell out the stative verbaliser are prevented from appearing in the sensive verb phrase, since the conditions for inserting them are not met. The consequence is that the suffix /ʃ/ is restricted to sensive verbs.",3.0,"In this paper it is argued that the sensive verbs do not involve any psychological verb, and the suffix is not specified as “sensive” in the lexicon.",2.0,"In North Sámi, the suffix associated with sensive verbs is not specified as “sensive” in the lexicon.",L-Spec,North Sami,L-Spec,North Sámi,L-Spec,North Sámi,L-Spec,North Sámi,L-Spec,North Sámi,L-Spec,True,0.62,"In North Sámi, the lexical/grammatical resources typically treat sensive verb morphology as ordinary derivational or inflectional suffixes (e.g., in paradigms/grammar), rather than labeling a specific suffix category explicitly as “sensive” in the lexicon.","{""verdict"":true,""confidence"":0.62,""rationale"":""In North Sámi, the lexical/grammatical resources typically treat sensive verb morphology as ordinary derivational or inflectional suffixes (e.g., in paradigms/grammar), rather than labeling a specific suffix category explicitly as “sensive” in the lexicon.""}",True
glossa-5462-julien,Title and Abstract,"North Sámi has a class of derived verbs called sensive verbs. Descriptively, these verbs are formed by adding the suffix /ʃ/ to an adjectival or nominal base, and the resulting verb means ‘find [object] (too) ADJECTIVE/NOUN’. In this paper it is argued that the sensive verbs do not involve any psychological verb, and the suffix is not specified as “sensive” in the lexicon. Rather, the suffix is specified as a realisation of a stative verbaliser in a transitive structure. The interpretation of the verb and the experiencer role of the subject follow from this specification in combination with the syntax of the verb phrase as a whole, which has a stative verbaliser and a Voice head on top of a minimal aP or nP. Other vocabulary items that could spell out the stative verbaliser are prevented from appearing in the sensive verb phrase, since the conditions for inserting them are not met. The consequence is that the suffix /ʃ/ is restricted to sensive verbs.",4.0,"Rather, the suffix is specified as a realisation of a stative verbaliser in a transitive structure.",1.0,"In North Sámi, the suffix associated with sensive verbs is specified as a realisation of a stative verbaliser in a transitive structure.",L-Spec,North Sami,L-Spec,North Sámi,L-Spec,North Sámi,L-Spec,North Sámi,L-Spec,North Sámi,L-Spec,False,0.7,"North Sámi has derivational verb suffixes (including ones forming stative/inchoative meanings), but describing a “suffix associated with sensive verbs” as specifically a realisation of a stative verbaliser in a transitive structure is not a standard or clearly attested analysis; sensive/perception verbs are not typically characterised by a dedicated suffix in this way, and stative verbalisers are usually discussed independently of transitivity.","{""verdict"":false,""confidence"":0.7,""rationale"":""North Sámi has derivational verb suffixes (including ones forming stative/inchoative meanings), but describing a “suffix associated with sensive verbs” as specifically a realisation of a stative verbaliser in a transitive structure is not a standard or clearly attested analysis; sensive/perception verbs are not typically characterised by a dedicated suffix in this way, and stative verbalisers are usually discussed independently of transitivity.""}",True
glossa-5462-julien,Title and Abstract,"North Sámi has a class of derived verbs called sensive verbs. Descriptively, these verbs are formed by adding the suffix /ʃ/ to an adjectival or nominal base, and the resulting verb means ‘find [object] (too) ADJECTIVE/NOUN’. In this paper it is argued that the sensive verbs do not involve any psychological verb, and the suffix is not specified as “sensive” in the lexicon. Rather, the suffix is specified as a realisation of a stative verbaliser in a transitive structure. The interpretation of the verb and the experiencer role of the subject follow from this specification in combination with the syntax of the verb phrase as a whole, which has a stative verbaliser and a Voice head on top of a minimal aP or nP. Other vocabulary items that could spell out the stative verbaliser are prevented from appearing in the sensive verb phrase, since the conditions for inserting them are not met. The consequence is that the suffix /ʃ/ is restricted to sensive verbs.",5.0,"The interpretation of the verb and the experiencer role of the subject follow from this specification in combination with the syntax of the verb phrase as a whole, which has a stative verbaliser and a Voice head on top of a minimal aP or nP.",1.0,"In North Sami, the interpretation of the sensive verb and the experiencer role of the subject follow from the specification of the suffix associated with sensive verbs as a realisation of a stative verbaliser in a transitive structure, in combination with the syntax of the verb phrase as a whole. ",L-Spec,North Sami,L-Spec,North Sámi,L-Spec,North Sámi,L-Spec,North Sami,L-Spec,North Sami,L-Spec,False,0.43,"The claim is a very specific theoretical analysis (stative verbaliser suffix in a transitive structure plus VP syntax) that is not an established, generally accepted factual description of North Sámi; without a clear, citable source it cannot be asserted as fact as stated.","{""verdict"":false,""confidence"":0.43,""rationale"":""The claim is a very specific theoretical analysis (stative verbaliser suffix in a transitive structure plus VP syntax) that is not an established, generally accepted factual description of North Sámi; without a clear, citable source it cannot be asserted as fact as stated.""}",True
glossa-5462-julien,Title and Abstract,"North Sámi has a class of derived verbs called sensive verbs. Descriptively, these verbs are formed by adding the suffix /ʃ/ to an adjectival or nominal base, and the resulting verb means ‘find [object] (too) ADJECTIVE/NOUN’. In this paper it is argued that the sensive verbs do not involve any psychological verb, and the suffix is not specified as “sensive” in the lexicon. Rather, the suffix is specified as a realisation of a stative verbaliser in a transitive structure. The interpretation of the verb and the experiencer role of the subject follow from this specification in combination with the syntax of the verb phrase as a whole, which has a stative verbaliser and a Voice head on top of a minimal aP or nP. Other vocabulary items that could spell out the stative verbaliser are prevented from appearing in the sensive verb phrase, since the conditions for inserting them are not met. The consequence is that the suffix /ʃ/ is restricted to sensive verbs.",5.0,"The interpretation of the verb and the experiencer role of the subject follow from this specification in combination with the syntax of the verb phrase as a whole, which has a stative verbaliser and a Voice head on top of a minimal aP or nP.",2.0,"In North Sami, the  verb phrase as a whole has a stative verbaliser and a Voice head on top of a minimal adjectival phrase (aP) or nominal phrase (nP).",L-Spec,North Sami,L-Spec,North Sámi,L-Spec,North Sámi,L-Spec,North Sami,L-Spec,North Sami,L-Spec,False,0.62,"This is a specific syntactic decomposition claim (stative verbaliser + Voice above aP/nP) that is not an established, generally accepted fact about North Sámi as such; it reflects a particular theoretical analysis and is not verifiable as a language-wide factual property stated without attribution or qualification.","{""verdict"":false,""confidence"":0.62,""rationale"":""This is a specific syntactic decomposition claim (stative verbaliser + Voice above aP/nP) that is not an established, generally accepted fact about North Sámi as such; it reflects a particular theoretical analysis and is not verifiable as a language-wide factual property stated without attribution or qualification.""}",True
glossa-5462-julien,Title and Abstract,"North Sámi has a class of derived verbs called sensive verbs. Descriptively, these verbs are formed by adding the suffix /ʃ/ to an adjectival or nominal base, and the resulting verb means ‘find [object] (too) ADJECTIVE/NOUN’. In this paper it is argued that the sensive verbs do not involve any psychological verb, and the suffix is not specified as “sensive” in the lexicon. Rather, the suffix is specified as a realisation of a stative verbaliser in a transitive structure. The interpretation of the verb and the experiencer role of the subject follow from this specification in combination with the syntax of the verb phrase as a whole, which has a stative verbaliser and a Voice head on top of a minimal aP or nP. Other vocabulary items that could spell out the stative verbaliser are prevented from appearing in the sensive verb phrase, since the conditions for inserting them are not met. The consequence is that the suffix /ʃ/ is restricted to sensive verbs.",6.0,"Other vocabulary items that could spell out the stative verbaliser are prevented from appearing in the sensive verb phrase, since the conditions for inserting them are not met.",1.0,There are vocabulary items in North Sami that could spell out the stative verbaliser are prevented from appearing in the sensive verb phrase because the conditions for inserting them are not met.,L-Spec,North Sami,L-Spec,North Sámi,L-Spec,North Sámi,L-Spec,North Sami,L-Theo,,L-Spec,False,0.33,"The statement is not a clearly attested fact about North Sámi grammar: it uses unclear/incorrect terminology (“stative verbaliser,” “sensive verb phrase”) and makes a specific claim about vocabulary-item insertion conditions that is not supported as stated in standard descriptions of North Sámi.","{""verdict"":false,""confidence"":0.33,""rationale"":""The statement is not a clearly attested fact about North Sámi grammar: it uses unclear/incorrect terminology (“stative verbaliser,” “sensive verb phrase”) and makes a specific claim about vocabulary-item insertion conditions that is not supported as stated in standard descriptions of North Sámi.""}",True
